"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"W***1","PLUS会员","star5","京东送货快，电脑也很新，很好很喜欢，一直在京东购物","2018-12-17 15:28","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:24.6285479"
"r***h","PLUS会员","star5","认真查了序列号 是全新的 心里的石头终于落了地","2018-12-22 11:41","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:24.6611994"
"w***0","PLUS会员","star5","蛮不错的，就是接口少了点。有点后悔没买por。","2018-12-18 23:26","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:24.6917149"
"买***青",,"star5","价格太便宜啦","2018-12-23 22:44","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:24.7188820"
"j***j",,"star5","目前用的还好","2018-12-22 16:35","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:24.7533469"
"小***1",,"star5","正品检查无错","2018-12-18 14:00","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.0418099"
"m***a","PLUS会员","star5","推荐购买，送货快，希望多搞活动，质量很不错","2018-12-19 12:33","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.0722312"
"j***e","PLUS会员","star5","物流超快 24小时到达 完好无损","2018-12-04 12:20","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.1019143"
"丽***香",,"star5","双12下单15号到货，由于时间关系，19号撤包开机，无法开机，电量完毕，待充电半小时左右开机速度很快，一切就绪后，只有一个字，（棒）苹果系统就是?。包装很好防摔力强。京东一切完美","2018-12-20 10:18","0","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.1286587"
"j***f",,"star5","比较流畅，性价比高的，小巧紧致外观好看物流很快","2018-12-20 09:41","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.1620770"
"g***6",,"star5","不是一般的好用，终于等来了升级版","2018-12-10 21:30","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.1918409"
"京***D",,"star5","外形设计理念比较新颖，反应速度很快。","2018-12-26 16:03","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.2290476"
"葛***斤",,"star5","想买很久了，到手还行","2018-12-22 16:45","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.2517031"
"米***仔",,"star5","第一次用苹果，非常不错外观好看","2018-12-08 16:15","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.2816187"
"c***8",,"star5","此用户未填写评价内容","2018-11-10 13:44","1","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:40.3096827"
"c***g",,"star5","此用户未填写评价内容","2018-12-16 20:26","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.6118892"
"希***5",,"star4","目前使用都正常的，还不错","2018-12-20 10:02","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.6419190"
"万***目",,"star5","东西很好，除了贵","2018-12-16 23:14","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.6690025"
"雀***矿","PLUS会员","star5","太方便了，上午下单，下午6点之前就送到了～包装很好，两层盒子，很结实。本子也很好～喜欢用～","2018-12-18 14:18","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.6918625"
"周***蕊","PLUS会员","star5","我自己都没舍得买呀，他要了，为了鼓励他，还是给他买了，学习的好帮手，不是用来玩游戏的啊。","2018-12-20 16:19","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.7220514"
"j***n","PLUS会员[试用]","star5","包装很好，物流也很快，拆开后还是有点小兴奋，真的很好看，我很喜欢，哈哈哈哈哈哈哈！","2018-12-17 11:31","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.7509718"
"j***一","PLUS会员","star5","老爸很喜欢！用着顺畅容易上手！加油哦！很棒！买家电上京东，值得信耐，有保障！","2018-12-21 09:16","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.7786829"
"j***k",,"star5","迫不及待自己去京东物流站自取的，女朋友很开心，用着还行，适合女生，技术宅建议用pro，不用Air","2018-12-16 19:23","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.7986580"
"d***y","PLUS会员","star5","给女朋友买的，很喜欢，虽然不是国产，但办公用确实不错，以后还会考虑苹果产品","2018-12-19 20:13","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.8369593"
"一***灬","PLUS会员","star5","东西很好，苹果产品办公就是好用，反应迅速，非常流畅，下次继续买，买少了这次","2018-12-12 11:05","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:41:55.8686100"
"j***b","PLUS会员[试用]","star5","东东已收到，快递员考虑到物品很贵重，特意安排工作日联系上我后再安排派送的","2018-12-18 13:33","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.1726707"
"幸***剁",,"star5","非常棒，之前一直担心office问题，现在用for Mac，非常好用。值得体验。不后悔","2018-12-17 19:19","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.2020565"
"t***r","PLUS会员","star5","颜色适合女生。用惯了Windows，操作系统需要一段时间熟悉。","2018-12-22 09:31","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.2319658"
"王***福","PLUS会员","star5","非常好，赶上闪购买的，性价比非常高，颜值也很高，方便出差携带","2018-12-22 15:54","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.2587600"
"a***u","PLUS会员","star5","电脑用苹果还是办公首选吧!!!!运行速度快，待机时间长！","2018-12-17 16:25","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.2819631"
"暗***子","PLUS会员","star5","宝贝很好，本担心配置，买回来发现很流畅。","2018-11-29 12:35","2","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.3117631"
"一***果","PLUS会员","star5","本来同事要的银色的，下错单买了金色的，感觉金色的更好看。","2018-12-26 16:55","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.3407382"
"j***u",,"star5","购买后第二天就岀现问题，估计是二手返修的，京东没以前靠谱了，建议价格五百以上的产品最好别买。","2018-03-10 15:16","2","0","[购买39天后追评]",,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.3689457"
"小***Q","PLUS会员","star5","给朋友买的，第二个苹果电脑，很好用","2018-11-25 21:50","2","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.3924124"
"水***茶","PLUS会员","star5","质量杠杠的，比上一代小了一大圈，机子反应快，很好。","2018-12-21 22:30","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:11.4216391"
"M***o","PLUS会员","star5","一直在京东买东西，信任京东，京东快递小哥送货非常快","2018-12-23 14:15","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.6989852"
"n***n","PLUS会员","star5","还没试，应该没问题，搞活动买的，希望能经常搞活动！","2018-12-12 22:05","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.7290491"
"一***_","PLUS会员","star5","操作完全没有问题 颜值就更不用说了 一如既往的好","2018-12-21 10:59","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.7587131"
"j***f",,"star5","笔记本已经收到了，被公司的人直接领走了，具体怎么样用过之后再评价。","2018-12-20 12:17","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.7887425"
"j***v",,"star5","很好，自营产品没毛病，但是没那么多钱，分期，以后每月都要还款?","2018-12-27 01:55","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.8089162"
"j***g",,"star5","外观小巧漂亮，特别喜欢，就是没有u盘插口，还得买转换器，有点麻烦","2018-12-26 09:23","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.8423611"
"京***e","PLUS会员","star5","话不多说什么啦，这个挺好的，能给点京豆不呢？","2018-12-21 12:21","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.8685713"
"木***彩",,"star3","价格变动频繁，眼花缭乱的，什么也没送，自己花钱买了壳子，膜，内胆包，鼠标！希望值得！物有所值吧！","2018-12-03 10:54","1","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.8912989"
"z***u",,"star5","简洁大方，依然是苹果的风格，看来看去，笔记本还是喜欢苹果的?","2018-12-27 07:40","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.9225557"
"老***张","PLUS会员","star5","机器不错！价格变化太大。搞不清啥时候下手！","2018-12-23 09:56","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:26.9519708"
"h***4","PLUS会员","star5","帅气，帮家人买的，感觉很棒，希望能多用几年","2018-12-22 16:55","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.3176253"
"永***7","PLUS会员","star5","京东购物绝对超赞 12期免息还是不错的","2018-11-11 17:00","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.3489018"
"5***1","PLUS会员","star5","送货很及时，第二天就到了，服务态度也不错","2018-12-22 17:38","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.3886524"
"j***k",,"star5","真心不错！","2018-12-20 11:13","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.4109604"
"u***w","PLUS会员","star5","做工很漂亮，看看视频编辑编辑文件贼好用。","2018-12-20 13:35","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.4391831"
"乔***夫",,"star5","现在在拿这台电脑评价，总体来说非常不错，苹果全家桶已经全了","2018-12-24 13:24","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.4687777"
"蜡***宝",,"star5","大品牌，设计风格独特，小巧玲珑精致，非常可爱。使用方便。","2018-12-26 23:52","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.4917524"
"徐***8","PLUS会员","star5","还不错的购物体验，下次有机会还会在买","2018-12-25 20:00","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.5221603"
"j***2","PLUS会员","star5","果然很精致，很不错的呢。暂时没问题","2018-12-27 10:34","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.5488070"
"喜***喜","PLUS会员","star5","帮朋友买的。没拆开 但是感觉好棒哦","2018-12-25 13:56","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:42.5717883"
"点***络","PLUS会员","star5","果粉，已经买了好几台了，公司使用。","2018-12-20 02:16","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:57.8817900"
"k***a","PLUS会员","star5","正品，价格实惠，京东值得信赖，赞","2018-12-16 21:21","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:57.9086860"
"宏***吧","PLUS会员","star5","包装完好，送货快，应该是正品。","2018-12-20 15:23","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:57.9390135"
"5***9","PLUS会员","star5","很好用的苹果电脑，京东物流给力","2018-12-17 15:14","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:57.9687041"
"j***1",,"star5","很薄，外观很好看，刚开始用，速度挺快的","2018-12-22 10:05","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:57.9997277"
"j***z","PLUS会员","star5","苹果电脑用起来确实快一点啊","2018-12-27 10:48","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:58.0286246"
"w***g","PLUS会员","star5","公司年会用不错的！！！","2018-12-19 06:23","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:58.0523183"
"嘿***唧",,"star5","苹果笔记本确实不错，除了不习惯，其他没毛病","2018-12-18 19:03","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:58.0823872"
"x***z","PLUS会员","star5","还不错，价格没啥实惠的","2018-12-17 10:58","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:58.1134352"
"帅***飞",,"star5","好不好不知道，因为给她买的，现在已经凉凉","2018-12-22 00:27","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:42:58.1388059"
"S***e","PLUS会员","star5","回来就灌了水。。。","2018-12-20 21:11","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.4714284"
"青***1",,"star5","还在适应中，屏幕不错，打开文档较慢。","2018-12-16 09:30","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.5020532"
"偷***3",,"star5","特别特别好，真的好特别特别好，真的好","2018-12-17 18:49","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.5305310"
"z***c",,"star5","好用，MacBook新版感觉更酷了","2018-12-22 08:43","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.5590634"
"j***1",,"star5","非常棒 值得购买 客服非常有耐心","2018-12-27 10:21","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.5823768"
"c***8",,"star5","运送速度太快！几个小时就到啦！","2018-12-25 14:59","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.6117528"
"可***1",,"star5","给女朋友买的，很喜欢，苹果真贵…","2018-12-19 02:45","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.6391292"
"I***k",,"star5","苹果的品质有保证，买的放心！","2018-12-21 11:34","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.6619901"
"闭***出",,"star5","还没有拆封，苹果应该不会差！","2018-12-17 18:33","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.6889487"
"浪***了",,"star5","此用户未填写评价内容","2018-12-01 23:07","1","0","[购买12天后追评]",,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:43:13.7191051"
